"","Course.Id","Title","Description","Credits","Learning.Goals","Distribution.Requirements","CO","CW","G","L","Q","A","FS","H","NS","SS","X3.3.4.3.Early.Assurance.Program.with.the.Drexel.University.Thomas.Kline.School.of.Law","X4.4.Admissions.Early.Interview.Program.with.the.New.York.Institute.of.Technology.College.of","Anthropology..B.A.","Anthropology..Environmental.Anthropology.Concentration..B.A.","Art.History..B.A.","Art..Studio.Art..B.A.","Biology..B.A.","Chemistry..B.A.","Communications..B.A.","Communications..B.A...Digital.Production.and.Cinema.Studies.Concentration","Communications..B.A...Journalism.and.Public.Relations.Concentration","Communications..B.A...Media.Studies.Concentration","Economics..B.A.","English..Creative.Writing.Track..B.A.","English..Literature.Track..B.A.","Environmental.Studies..B.A.","Fine.Arts..B.A.","French..B.A.","History..B.A.","Interdisciplinary.Studies..B.A.","International.Studies..Business.Track..B.A.","International.Studies..Political.Science.Track..B.A.","Latin.American.Studies..B.A.","Liberal.Studies..B.A.","Literature..B.A.","Mathematics..B.A.","Philosophy..B.A.","Physics..B.A.","Political.Science..B.A.","Psychology..B.A.","Social.Science..Psychology.and.Human.Service.Professions.Concentration..B.A.","Social.Science..Social.Cultural.Studies.Concentration..B.A.","Sociology..B.A.","Spanish..B.A.","X4.4.Early.Acceptance.Program..EAP..with.the.LECOM.School.of.Dental.Medicine","Dentistry..B.A..B.S..D.D.S...NYU.","General.Education...Core.Requirements","Law..B.A..B.S..J.D...Albany.","Medicine..B.A..B.S..D.O...Lake.Erie.College.of.Osteopathic.Medicine...LECOM.","Medicine..B.A..B.S..D.O...Philadelphia.College.of.Osteopathic.Medicine...PCOM..","Medicine..B.A..B.S..D.O...NEW.YORK.INSTITUTE.OF.TECHNOLOGY.COLLEGE.OF.OSTEOPATHIC.MEDICINE.NYITCOM.","Optometry..B.S..O.D...SUNY.College.of.Optometry.","Pre.Engineering..B.A..B.S..M.S...Columbia.","Scholar.Teacher.Education.Program..STEP...Teaching.English.to.Speakers.of.Other.Languages..TESOL..5.Year.B.A..M.A..or.B.S..M.A.","The.4.4.Collaborative.Affiliation.Agreement.with.the.Buffalo.School.of.Pharmacy.and.Pharmaceutical.Sciences","The.Scholar.Teacher.Education.Program..STEP...B.A..or.B.S.M.A.","Veterinary.Medicine..B.A..or.B.S..D.V.M...Ross.University.School.of.Veterinary.Medicine.","Accounting..B.B.A.","Management..B.B.A.","Management..Finance.Specialization..B.B.A.","Management..Human.Resource.Management.Specialization..B.B.A.","Management..Management.Information.Systems.Specialization..B.B.A.","Management..Marketing.Specialization..B.B.A.","Accounting.Five.Year.B.B.A..M.B.A.","Art.and.Design.Education..B.F.A.","Art.Education..Pre.K.12...B.F.A.","Art..Studio.Art..B.F.A.","Art..Studio.Art..Graphic.Design.Concentration..B.F.A.","Dance..B.F.A.","Theatre.Arts..Acting..B.F.A.","Theatre.Arts..Design.Technology..B.F.A.","Accelerated.Nursing.Program..leading.to.the.B.S..in.Nursing","Biochemistry..B.S.","Biology..B.S.","Business..B.S...through.College.of.Professional.and.Continuing.Studies.","Chemistry..B.S.","Communication.Sciences.and.Disorders..B.S.","Computer.and.Management.Information.Systems..B.S.","Computer.and.Management.Information.Systems..Game.Development.Concentration..B.S.","Computer.and.Management.Information.Systems..Information.Security.Concentration..B.S.","Computer.Science.B.S.","Criminal.Justice..B.S.","Emergency.Services.Administration..B.S.","Exercise.Science..B.S.","Finance..B.S.","Interdisciplinary.Studies..B.S.","Marketing..B.S.","Mathematics..B.S.","Music.Education..B.S.","Music..B.S.","Music..Composition.Concentration..B.S.","Music..Vocal.Performance.Concentration..B.S.","Natural.Sciences..B.S.","Neuroscience..B.S....Cognitive.Neuroscience.Concentration","Neuroscience..B.S....Molecular.Neuroscience.Concentration","Nursing..B.S.","Nursing..R.N..to.B.S.","Physical.Activity.Studies..B.S.","Physical.Education.and.Health.Education..B.S.","Physical.Education..Teaching..B.S.","Physical.Therapy..B.S..D.P.T...New.York.Institute.of.Technology.","Physical.Therapy..B.S..D.P.T...New.York.Medical.College.","Physics..B.S.","Podiatry..B.S..D.P.M..New.York.College.of.Podiatric.Medicine...NYCPM..","Sport.Management..B.S.","ANSWER.Program.Leading.to.Bachelor.of.Social.Work..B.S.W.","Social.Work..B.S.W.","Social.Work..Child.and.Family.Studies.Concentration..B.S.W."
"1","0103-229","Humankind,Culture, and Environment",,"3","CO,L","SS",1,0,0,1,0,0,0,0,0,1,3,4,1,5,4,3,3,3,3,3,1,5,2,4,1,2,1,2,4,2,4,5,1,3,4,5,4,4,5,4,2,4,5,4,2,5,1,3,3,2,1,1,1,2,5,4,2,2,2,1,3,1,3,2,3,2,3,1,3,2,3,4,5,2,5,3,2,4,1,1,1,1,3,3,4,1,3,3,4,3,4,2,5,2,3,2,2,2,1,1,1,2,4,1,5,3,1,4
"2","0103-265","The Developing World: Culture,Conflict and Changes",,"3","G,CO","",1,0,1,0,0,0,0,0,0,0,1,1,3,4,1,5,2,1,5,3,5,4,4,4,1,3,3,4,4,2,1,2,4,3,2,5,4,2,5,4,2,4,4,2,2,5,2,4,3,2,1,3,5,3,3,4,4,2,3,5,4,5,2,2,1,3,1,4,5,5,5,5,1,2,4,5,1,2,3,3,3,5,3,4,5,2,2,2,5,5,2,3,5,2,5,3,4,4,3,1,5,2,1,3,2,3,4,1
"3","0103-340","Environment and Anthropology
18.75 hours of Labwork Required",,"3.5","G,CO","",1,0,1,0,0,0,0,0,0,0,5,4,4,2,5,5,1,1,3,4,5,4,5,1,4,4,1,4,4,3,2,5,5,2,1,1,2,5,3,2,5,2,3,4,3,5,3,5,4,3,4,1,5,4,2,5,3,2,2,1,3,1,5,3,3,4,5,2,5,3,2,5,2,2,4,3,5,5,2,4,1,1,5,2,4,2,4,1,4,4,3,5,5,2,3,5,5,4,2,5,1,2,5,1,1,5,2,4
"4","0105-224","Genetics Project Lab
Bio 222 must be taken concurrentlyStudent must register for Lecture and Lab",,"2","CO,L","",1,0,0,1,0,0,0,0,0,0,4,1,2,3,1,5,4,4,2,5,3,5,1,2,2,3,1,1,3,3,3,5,1,1,5,4,4,2,5,2,3,4,2,4,2,5,3,2,4,3,5,5,4,2,1,1,1,5,2,4,1,1,1,3,2,2,2,5,2,5,4,4,1,1,3,2,1,5,3,1,1,3,2,5,4,4,2,1,3,2,1,4,2,3,2,5,2,4,5,1,2,3,3,5,4,1,5,1
"5","0108-336","Media and Gender 

Departmental approval required to register for course(s) (limited seats for non-majors)",,"3","CO","SS",1,0,0,0,0,0,0,0,0,1,1,4,4,1,1,5,3,4,5,3,5,3,1,2,5,5,1,2,3,3,4,3,4,4,2,3,3,4,1,4,5,5,3,4,4,1,5,4,1,4,5,2,5,3,1,2,3,1,4,2,3,3,5,5,3,5,3,3,1,1,5,4,2,3,1,3,1,2,5,3,2,5,1,1,1,5,1,1,2,5,1,5,1,4,4,3,5,5,3,3,5,4,5,5,1,2,4,2
"6","0111-250","Northern European Renaissance Art",,"3","CO,G","A",1,0,1,0,0,1,0,0,0,0,2,2,4,5,2,2,1,2,4,4,5,5,3,1,3,1,1,1,2,1,1,4,2,4,1,2,1,4,3,1,5,1,5,4,1,5,5,1,5,2,5,4,2,2,5,5,3,1,5,1,2,3,2,3,3,1,1,4,4,5,3,5,1,1,3,2,1,4,2,2,1,2,5,1,5,2,1,1,1,5,5,2,5,4,3,2,2,4,5,4,3,2,1,5,4,5,3,4
"7","0112-205","Introduction to the Oceans 
Cross-listed with ENV (0125) 205",,"3","CO","NS",1,0,0,0,0,0,0,0,1,0,1,4,1,4,1,5,1,3,1,3,5,3,1,5,5,4,5,4,1,3,5,4,5,1,4,4,5,4,1,2,2,1,4,5,2,2,4,2,2,1,1,3,5,4,2,2,2,2,1,5,4,3,5,1,1,1,5,5,3,1,2,1,5,1,5,3,1,2,3,5,2,2,1,2,5,4,3,5,1,5,1,4,4,4,2,3,4,5,3,2,2,3,2,3,1,4,2,2
"8","0125-205","Introduction to the Oceans
Cross-listed with EAS (0112) 205",,"3","CO","NS",1,0,0,0,0,0,0,0,1,0,3,4,3,2,4,3,2,5,2,1,1,4,1,4,1,3,2,3,1,3,3,1,5,2,4,4,5,3,5,5,3,4,5,1,1,4,4,3,3,5,2,2,3,5,4,5,1,1,2,1,2,5,4,3,3,1,2,2,1,4,2,2,2,3,4,5,3,4,1,3,3,1,2,2,1,2,5,2,1,4,1,3,2,3,2,5,2,5,5,4,2,2,4,3,4,4,4,2
"9","0125-265","The Developing World: Culture Conflict and Change",,"3","CO,G","",1,0,1,0,0,0,0,0,0,0,3,3,2,3,2,3,5,5,1,1,4,1,3,1,5,1,2,4,1,4,5,1,3,1,4,4,4,4,1,5,4,2,5,5,2,4,4,1,3,4,4,3,5,4,1,1,5,4,1,1,1,4,5,5,3,1,1,3,4,1,4,3,3,2,1,1,4,4,3,2,1,1,2,4,3,5,4,5,2,4,1,4,3,2,2,3,4,1,2,4,1,2,2,1,4,2,3,2
"10","0125-280","Urban Environments 
Cross-listed with EAS (0112) 280",,"3","CO","",1,0,0,0,0,0,0,0,0,0,3,3,5,5,5,4,4,2,3,5,2,3,5,3,5,4,1,2,3,4,5,5,2,2,1,2,2,5,4,1,3,5,1,4,3,1,5,1,5,2,1,5,4,3,3,2,2,3,3,3,5,5,1,4,1,3,2,4,5,2,2,1,3,4,2,5,2,4,2,4,5,3,1,2,1,4,1,2,3,4,1,1,5,5,5,3,3,2,1,3,3,3,4,2,5,3,3,1
